Date,GoogleIndex,MovieTitle,Studio
2018-11-21,31,The Hate U Give,Fox
2018-11-22,39,The Hate U Give,Fox
2018-11-23,45,The Hate U Give,Fox
2018-11-24,37,The Hate U Give,Fox
2018-11-25,27,The Hate U Give,Fox
2018-11-26,21,The Hate U Give,Fox
2018-11-27,19,The Hate U Give,Fox
2018-10-31,56,Beautiful Boy 2018,Amazon
2018-11-01,55,Beautiful Boy 2018,Amazon
2018-11-02,100,Beautiful Boy 2018,Amazon
2018-11-03,93,Beautiful Boy 2018,Amazon
2018-11-04,61,Beautiful Boy 2018,Amazon
2018-11-05,59,Beautiful Boy 2018,Amazon
2018-11-06,80,Beautiful Boy 2018,Amazon
2018-11-07,61,Beautiful Boy 2018,Amazon
2018-11-08,49,Beautiful Boy 2018,Amazon
2018-11-09,71,Beautiful Boy 2018,Amazon
2018-11-10,73,Beautiful Boy 2018,Amazon
2018-11-11,53,Beautiful Boy 2018,Amazon
2018-11-12,43,Beautiful Boy 2018,Amazon
2018-11-13,45,Beautiful Boy 2018,Amazon
2018-11-14,33,Beautiful Boy 2018,Amazon
2018-11-15,53,Beautiful Boy 2018,Amazon
2018-11-16,66,Beautiful Boy 2018,Amazon
2018-11-17,49,Beautiful Boy 2018,Amazon
2018-11-18,35,Beautiful Boy 2018,Amazon
2018-11-19,35,Beautiful Boy 2018,Amazon
2018-11-20,50,Beautiful Boy 2018,Amazon
2018-11-21,28,Beautiful Boy 2018,Amazon
2018-11-22,55,Beautiful Boy 2018,Amazon
2018-11-23,41,Beautiful Boy 2018,Amazon
2018-11-24,41,Beautiful Boy 2018,Amazon
2018-11-25,24,Beautiful Boy 2018,Amazon
2018-11-26,30,Beautiful Boy 2018,Amazon
2018-11-27,47,Beautiful Boy 2018,Amazon
2018-10-31,14,Pokemon the Movie The Power of Us,Fathom
2018-11-01,19,Pokemon the Movie The Power of Us,Fathom
